135 370
?????0????????1?????????0??0??????????011??000?1???????1???1?????00?0?0?????????????1?????0?????10?0?1???0???????0????0???0??0?????0??00???0???????0?1?0?0?????????1?0????????????00?00??00????1??0??????????1???1?0?0??1?????1????????0?1???0????00???0??????0?0??00?0????0000????0????????1?0??0?????0?1?????00??1????????0?0?????1?0???0???????01?0?????????0???????0???0??0???
x70 x68
x4 x73
x36 x91
x112 x45
x103 x71
x17 x28
x75 x128
x30 x30
x38 x85
c2 x82
x29 x3
x109 x108
x1 x104
x110 x67
x95 x133
c10 x58
c12 x43
x40 x41
c14 x112
c1 c6
c13 x110
x4 x117
x76 x11
x25 x7
x78 x55
x24 c19
x131 x113
x8 x40
x41 x56
x19 c20
x51 x63
x9 x102
x109 x10
c23 x6
x81 x102
x109 x23
x60 x119
x32 c32
x43 x66
c15 x74
x82 x68
x34 c10
x109 x12
c28 c33
x64 x44
x61 c45
x39 x32
x33 x25
x129 x117
c39 x85
x103 c35
x75 x123
x33 x4
x118 x107
c14 x80
x9 x69
x25 x86
x10 x92
c51 c23
x76 c36
x38 x135
c8 x50
x11 x13
x38 c24
x96 x27
x109 x130
x112 x29
x100 x26
x8 x38
c54 x43
x28 c67
x20 c33
c6 x57
x66 x89
x19 c13
x66 x46
c48 x85
x104 c17
c4 c52
x92 c70
c79 x54
x43 c62
x129 x22
c57 c19
x109 x105
c67 x65
x123 x110
c47 c73
c71 x66
x21 x104
x4 c39
x16 x98
x91 c72
x46 x69
x83 c85
c27 c33
c47 c91
c72 x112
c30 x1
c72 x55
c87 x131
x82 x79
x41 x74
c62 x45
x88 x122
x132 x50
x62 c4
x3 x120
c4 c42
c107 c109
x73 c45
c53 x89
x42 c4
x90 x132
c37 x60
x24 x11
c105 x34
x58 x55
x64 x125
x18 c72
c19 c55
x15 c55
x129 x98
c68 x52
x15 c56
c39 x109
x52 c107
x35 x18
c125 x107
x52 c30
c75 c103
x29 x127
c109 x80
c26 c112
x127 x8
c91 c69
x98 x62
x130 c101
x42 c107
c132 c106
x124 c5
x123 c137
c47 x67
x4 x13
x51 x61
x41 c56
c130 x108
x129 x43
c35 c86
x2 c145
x84 x25
c33 x123
c81 x111
x71 c140
x57 x13
c82 x69
x113 c90
c53 c150
x103 c66
c62 x56
x61 c152
x47 c114
c34 c152
c22 x101
c21 c45
c119 x17
c68 c89
x118 c1
c10 c12
c7 c69
c56 x21
c99 c34
x45 c56
c73 c64
x79 x118
c45 c29
c65 c44
x36 x79
c45 x71
c39 x90
x90 x78
x129 x8
c100 c44
x68 x9
c99 c150
c182 c39
x71 x43
c90 c161
c22 c105
c94 x103
c182 x79
c137 c127
c168 c77
c55 c10
x28 c100
c45 c76
c117 c160
c128 x82
c120 c99
c146 c117
x117 c84
x38 x46
x21 x92
x113 c142
x106 x124
x3 c77
c108 c131
c157 c108
x84 x123
c90 x70
x33 x123
c209 c154
x71 x85
x9 c186
c40 c169
c117 x25
c188 c195
c3 c7
c171 x21
x46 c95
c14 x73
c84 c42
c92 x98
c196 x38
x32 x46
x27 c84
x59 x55
c34 c195
c45 c194
c89 c103
c11 x118
x10 c152
c71 c95
c130 c74
x66 c206
c126 c222
x126 c23
x61 c46
c165 x25
c121 x116
c138 c67
x69 c23
c123 x4
x132 c123
c18 c154
c118 x77
x116 x45
x84 x61
c235 c132
c56 c63
x99 c204
c1 c166
x114 c120
c192 c50
c209 x64
c125 c29
c114 x127
c86 c122
c51 c251
x40 c148
x38 c186
c169 c169
c257 c187
c255 c236
x40 x12
c57 x22
x27 c91
c45 x127
c33 c67
c148 x64
c260 x84
c103 c177
x113 c67
c32 c57
x90 x26
c180 x123
x51 c92
x67 c151
x8 c265
c122 c191
c76 c125
c193 x109
x31 x102
c173 c276
x50 x5
c247 c244
x4 x130
x42 c55
x16 c167
c255 x43
c267 x44
x114 c99
c70 c68
c55 c220
x78 c258
c25 c248
c268 c265
x37 c246
c108 c262
c137 c268
c298 x28
c104 x49
x40 c11
c195 c183
c187 c195
c113 c64
c86 c61
c229 c73
c169 x134
x135 c62
c21 x45
x23 c98
c222 c260
c265 c83
x103 c190
x99 c52
c305 x4
c44 x26
c106 x66
x119 x78
c159 x38
x61 c43
c155 x105
c219 x25
c145 x87
x75 c173
c290 c296
c183 x132
c77 c11
x92 c285
c69 x10
c259 c261
c147 c161
x72 c41
x23 x29
x75 c27
x108 x112
c295 c29
c248 c44
x74 c149
x24 c240
c214 c304
c204 c174
c63 x13
c32 x57
c32 x2
c157 c145
c46 c55
c38 c180
c181 c54
c56 c256
c232 c238
c321 c92
c307 x54
c238 c35
x105 c112
x6 c337
x119 c334
c271 x130
x40 x90
c23 x25
c310 c342
x34 c9
c186 c67
c248 x83
x87 c277
c187 c360
x8 c3
c4 c35
x134 c222
