178 485
?0????1????1?0???????01?0?????1?????0?0??0???0????00????01???????11?01?????0????????00???1??????01?????0??????????1???0??0?????111?????0???1??11????0?0???0?11?0??????1?1?0?1?01??0??0?1??10??0????????1??????????0????0?????0?011????????????1?0??1?1?1?1??1?????0??????????????10??????1?1?????0001???????????00??01?1???01??01???1?????????1????1??1???0???1??00?????????????11??1?1??????0101??1????0?1????0?1?1?11??????????0??00????0??0??110?????0???1?0?0???0?????????0???11?01???1????1???1?
x19 x20
x10 x87
x63 x4
x95 x96
x117 x33
x124 x148
x99 x171
x40 x80
x157 x64
x49 x41
x162 x142
x124 x157
x13 x27
x48 x176
x62 c12
x101 x66
x153 x126
x134 x45
x18 x33
x123 x144
x158 x158
x144 x38
x21 x18
x115 x64
x115 x81
x95 x136
x34 x24
x36 x116
x169 c10
x134 x150
x9 c28
x92 c2
x9 x6
x163 x20
x18 c10
x82 x35
x178 x29
x95 c11
x51 x98
x22 x176
x20 x107
c21 x49
x170 x98
x150 x4
x19 x21
x8 x176
c9 x85
c11 x178
x118 x113
c37 x139
c35 c33
x43 x4
x6 x59
x29 x128
x158 x169
x66 c52
x58 x12
x157 c48
x44 c15
x169 x114
c51 x62
x104 x171
x51 x163
c28 c29
c57 x52
x157 x57
x67 x35
c37 c52
x11 x73
x57 x116
c59 x55
x98 x161
x127 x173
c6 c37
x116 x83
x158 x144
x11 x174
x72 x147
x159 x10
x70 c30
x98 x13
x137 x122
x73 x25
x60 c51
c43 x58
x28 x52
x132 x92
x6 c64
x19 x92
x178 x104
x115 x45
c21 x67
c55 x101
x4 c15
c80 x176
x168 x105
c96 x84
c22 x97
c97 x165
x9 c1
x43 x20
x176 c38
x141 c72
x50 x11
x18 x89
x172 x72
x77 c87
c88 c48
x45 x114
c92 c109
c110 x85
c86 c109
x160 c18
x107 x156
c18 c91
c77 x103
c97 x59
x3 c16
c43 x115
c28 c101
x63 c74
x105 x11
c57 c34
x138 x127
c75 x66
c45 c66
x163 x56
c94 x16
x19 x33
c1 x7
c4 x126
c78 x54
c121 x63
x129 x102
c94 c46
x85 c87
c94 x82
x105 c96
x112 c94
c136 c135
x178 x93
c131 x162
x100 x171
x68 c6
c21 x50
c38 c101
x65 x103
c144 x10
x52 c56
c6 c7
c25 c87
x176 c80
x97 x37
x55 x13
c51 c82
c114 c69
x95 x156
x146 x81
x49 c119
x133 c136
x40 x50
c23 c62
c86 c4
x108 c130
x7 c147
x21 x103
c91 c55
c12 c30
x85 c157
x8 x166
c159 c86
c114 c129
c125 c122
x133 x144
x118 x117
c45 c98
c44 x93
x106 x95
x98 x12
x52 x6
c150 c142
x88 x152
x154 x173
c30 c177
x40 c22
c77 c151
c25 x96
c82 x175
x122 x132
c28 c81
x28 c97
x6 x51
x129 x142
c104 c99
c35 c89
x52 c149
c153 x40
c128 c165
x24 c20
c64 c74
c100 c135
x30 c42
c38 x146
c27 c129
c10 c94
c70 c158
c110 x146
c189 c205
x14 x8
x126 c122
c87 x118
c209 c173
x28 x162
c26 x26
c193 x164
x3 x164
c67 x129
x125 x24
x51 c193
x74 x126
c184 x59
c84 x39
x61 x105
x23 c40
x97 c9
c181 c36
x135 c150
c172 c37
c221 c203
x71 x149
x66 x123
x59 c80
c224 c82
c6 x141
c135 c173
c112 c180
x98 c147
c208 x123
c80 c9
x21 c144
x151 x152
c40 x14
x20 x53
x143 c135
x45 c169
c139 x121
c68 c4
c48 x176
x69 x39
c237 c105
c40 c205
c22 c237
c67 x79
c103 c211
c245 x95
c157 c12
x50 c59
x41 c101
x77 c54
c71 c240
c60 x154
x5 x39
x110 c161
x42 c178
c76 c194
c178 x168
x74 x113
c159 c194
c10 x61
c186 c48
c127 c174
c47 c94
c57 x163
c196 c88
x137 c263
x13 c9
c25 c122
c230 x100
c111 c11
c99 x80
c111 x91
x82 c211
c238 x12
x30 c128
x152 x12
c253 c234
x33 c120
x157 c226
x44 x172
x73 c182
x140 x41
c87 c104
x86 c204
c187 x113
c214 c287
x174 c214
c24 c2
c236 x171
x70 c75
c98 c235
x38 c185
c291 x24
c210 c246
c1 c259
