223 452
01?????0??????0?00????1??01???0?10?0111???????01????1??????011?1?????1001?0????10???1010??0???0????1???11001?01???00?0????1?0100001???0010?1?????0??1?1?0????0???0?????0??1?0?1??10?01???000?????????0??????11?0?0000???110?1?1????1?1??0?1?0???????11????1?01?1?0?11?1?0??00?0??0?00?1?1???1?10??100???10?????1?11?11??1010??1?00??0???1?01????0?0????10??0?001?00???0?1?1?1001??11?0?10?01???11?1???1000????0??1????1??10?1?01???10?0010??1????0???000101????00100
x203 x158
x18 x68
x150 x41
x223 x127
x62 x189
x70 x134
x155 x128
x108 x58
x119 c7
x35 x108
x150 x90
x100 x126
x43 x144
x26 x107
c3 x124
x138 x17
x2 x42
x134 x29
x214 x205
x36 x118
x199 x129
x88 x186
c4 x202
x85 x167
c10 x134
x200 x117
x9 x161
c9 x151
x213 x161
x7 x207
c25 x193
x218 x220
c5 x152
x151 c11
x55 x147
c24 x35
x205 x99
x38 x100
x48 x158
x217 c7
x107 x137
x187 x60
x4 x108
x210 x196
x103 x36
x217 x46
x210 x10
x218 c6
x145 c16
x151 c37
c37 x135
c4 x175
x142 c25
c23 x43
c54 x188
x208 x87
x213 x34
x157 x9
x168 x165
x100 x143
x124 x89
x28 x48
x38 x216
c2 c57
x104 x174
x98 c45
x168 x25
x26 x19
x188 x204
x88 c68
x37 x203
c71 c41
x44 x204
x179 x31
c8 c17
c9 c4
x90 x182
x176 c64
c12 x199
x222 x48
x50 x190
x220 x185
x193 x26
x27 x85
x26 x118
x69 x50
x18 x203
x37 x138
x84 x87
c17 x169
x2 x61
x216 x79
x201 x49
x61 x121
x149 x114
x149 c51
x51 x177
c95 c21
x126 c50
x7 x81
x118 x50
c20 x52
x205 c76
x182 x147
c63 c77
x123 x72
c1 x63
x24 x184
c21 x88
x81 x176
x127 x102
c92 c57
c82 x215
x16 x65
x45 x211
x61 x45
x198 x35
c3 x187
x216 x25
x87 x28
x193 c74
c11 x172
x15 x205
x187 c118
x204 x128
x87 x47
x113 x21
c59 x25
x202 c71
x99 c129
x3 c72
c42 x219
x75 x31
x29 c89
x116 c71
x116 x193
x215 c100
x143 c46
x60 c22
c15 c14
x73 x15
c89 x79
c114 c136
x92 x174
c120 c18
x42 c28
x200 x86
c137 x141
c30 c44
c66 c62
x76 c106
x163 x67
c12 x134
x172 c48
x25 x195
x42 c135
x19 x66
x4 x186
x114 c115
c67 c116
x47 x53
x186 c11
x160 x91
x65 c100
c56 c135
x99 c126
x124 c146
x164 x112
c84 c28
c117 x198
c52 x32
c80 c53
x191 c160
c11 x46
c10 x7
x88 x188
c101 x107
x174 x154
x84 c26
x183 x175
x111 c168
c175 c33
c143 x146
x88 x60
x220 x48
c15 x97
x85 c67
x148 c47
c59 x134
c25 x44
x60 c163
c22 x114
x12 c5
c102 c68
c30 c134
x153 c65
x80 c8
x180 c17
c71 c17
x155 c161
c7 c84
x12 c34
x189 c101
c195 c15
x121 x89
x83 c69
c67 c187
x217 x203
c167 x158
x94 x211
c16 x43
c40 x58
x119 x35
c28 c10
x181 x12
c101 c126
x9 x135
x73 x18
c43 c199
c175 c170
x181 x164
c220 c135
c66 c197
x29 x55
c118 c148
x185 c26
c1 c19
x81 x70
c165 x165
x201 x3
c170 x22
c153 x88
c25 x69
x62 x200
c72 x206
c196 c226
c81 x10
x43 c176
c115 c91
x45 x126
x90 x87
x208 c235
c64 x98
x217 c136
x212 c175
c24 c111
c191 x102
c114 c213
x27 c151
c45 c137
x195 x41
c127 c54
c124 c36
c87 x162
c251 c98
c201 x125
c15 c38
x56 c124
c150 x48
x56 x59
c30 x143
x147 c51
x180 x140
x37 c251
c226 c239
c109 x61
c92 c94
x97 c119
x165 x41
c14 x34
x12 x71
c114 x138
x80 c104
c8 c188
c199 c44
c160 x134
c7 c60
c59 c52
x150 c111
c148 x171
x70 c231
c228 x150
x179 c137
x53 c260
c126 x161
x208 x86
x77 x122
c8 c233
c252 x185
c51 x164
x132 x195
c234 c115
c94 c71
x155 x62
c80 c139
c151 c93
x74 x204
c156 x191
c30 c231
c21 c51
c74 x51
c218 c124
x58 c160
c206 c280
c277 x2
c259 c33
c139 c224
c58 x109
x94 x118
c18 c176
x180 x5
c72 x166
x198 c280
x43 x4
c205 x193
c119 c240
x138 x18
c79 c299
x108 c243
c96 c85
x160 x203
x85 c159
x10 c269
c194 x17
c323 c314
x169 c60
x197 c301
c273 c167
c98 c7
x38 x9
x53 x78
c27 c51
c200 x62
c156 x4
x219 x182
x210 c134
x96 x113
c278 c171
c277 x176
x80 c87
x188 c285
c264 c77
x57 c266
c146 x47
x46 c59
x40 x114
x175 x132
c268 x180
c207 x52
x151 c331
x192 c316
c92 c305
c38 c175
c88 c72
c16 x180
x72 c163
c141 c52
c337 x37
x111 c115
c255 c96
x178 x162
x97 c147
c79 x54
x8 c305
c149 x118
c106 c337
x19 x180
c252 x19
c166 c335
c178 c236
x7 x132
c104 c133
x99 c239
x17 x164
c115 c85
c225 c287
x180 x164
x216 x163
x108 x69
x192 x109
x80 x24
c18 x70
c222 c286
x18 x118
c278 x80
c49 x77
c300 x117
c17 c24
x132 c272
c109 c78
c172 x56
c3 x10
c219 x186
c94 c207
c70 c361
c300 c344
x210 c281
x99 c43
x158 x23
x102 x148
c7 c58
x63 x118
c207 c186
c290 x33
x102 x135
c91 x51
c165 c99
c407 c330
x21 c400
x213 x169
c128 x35
c56 c106
c246 c390
x51 c336
c233 c107
c143 c34
c362 c181
c228 c144
c109 c352
c80 c328
x209 c226
c274 c253
c354 c355
c9 c226
c265 x32
x41 c188
x108 c333
x163 c328
c158 c304
x50 c306
c25 x145
c254 x74
c27 c285
x217 x2
x176 x138
c19 x80
x41 x120
x193 x45
c398 c339
x56 x116
x110 c433
c81 c138
c330 c228
x206 c324
c256 c374
c84 c235
x1 c130
c47 c41
c277 c292
c171 x80
c181 x39
x78 c219
